"date","ref","plate","duration_feeding","feedingRate"
2022-12-19,"k-m+_c1_6.4",1,6.54055555555556,0.19755467311986
2022-11-03,"k+m-_w2_1.5",1,8.94194444444445,0.0956415844109791
2022-11-07,"k-m-_m37_2.8",1,7.73305555555556,0.259497289293345
2022-11-09,"k-m-_c1_1.9",1,7.70277777777778,0.31366037178298
2022-12-06,"k-m+_c1_4.1",1,7.42888888888889,0.0856896000520189
2022-12-11,"k-m-_c1_5.1",1,7.05611111111111,0.0176785399616695
2022-12-12,"k+m-_c1_6.2",1,6.95277777777778,0.131193619567711
2022-12-13,"k+m+_w2_4.1",1,6.53277777777778,0.270835338622622
2022-12-19,"k+m-_w2_6.1",1,6.51916666666667,0.260003888582221
2022-11-03,"k-m+_w2_1.1",1,8.91638888888889,-0.118861393527104
2022-11-07,"k+m-_c_1",1,NA,NA
2022-11-09,"k+m-_w2_1.4",1,7.66972222222222,0.315619724138576
2022-12-06,"k+m-_w2_4.3",1,7.38972222222222,0.355039413631157
2022-12-11,"k-m+_m37_5.1",1,7.03638888888889,0.0779897346385865
2022-12-12,"k-m+_c1_6.3",1,6.92694444444444,0.159761015517131
2022-12-19,"k+m-_c1_6.2",1,6.49694444444444,0.212638940754603
2022-11-03,"k+m+_w2_1.5",1,8.89277777777778,-0.134206387042306
2022-11-07,"k+m-_m37_2.7",1,8.0325,0.249211545837486
2022-11-09,"k-m+_c1_1.4",1,7.64305555555556,0.0759693561465164
2022-12-06,"k+m-_c1_4.1",1,7.36527777777778,0.0837627186193565
2022-12-11,"k+m+_c_1",1,NA,NA
2022-12-12,"k+m+_m37_6.2",1,6.90666666666667,-0.026896311157725
2022-12-19,"k-m-_c1_6.3",1,6.47472222222222,0.136767870963663
2022-11-03,"k+m+_c1_1.10",1,8.795,-0.149822942161596
2022-11-07,"k-m+_w2_2.1",1,8.00805555555556,0.464593569072099
2022-11-09,"k-m-_m37_1.1",1,7.60166666666667,0.178413733783363
2022-12-06,"k+m+_c1_4.5",1,NA,NA
2022-12-11,"k-m-_m37_5.4",1,NA,NA
2022-12-12,"k-m+_c1_6.4",1,6.88166666666667,0.17635387309896
2022-11-03,"k-m+_m37_1.3",1,8.75944444444444,0.0287216384506113
2022-11-07,"k-m+_m37_2.6",1,7.70777777777778,0.226504421021511
2022-11-09,"k+m-_m37_1.1",1,7.57333333333333,0.345111924473249
2022-12-06,"k+m-_w2_4.1",1,7.31805555555556,0.154394651058799
2022-12-11,"k+m+_c1_5.3",1,NA,NA
2022-12-12,"k-m+_m37_6.1",1,6.86277777777778,0.24910874820574
2022-11-07,"k-m+_c1_2.1",1,7.68361111111111,0.639795865159311
2022-11-09,"k+m+_m37_1.1",1,7.54666666666667,0.405518389293256
2022-12-06,"k+m+_c1_4.1",1,7.28972222222222,-0.0544125759298683
2022-12-11,"k+m+_m37_5.3",1,6.9825,0.241777113605517
2022-12-12,"k-m+_w2_6.1",1,6.83027777777778,0.177680704874278
2022-11-07,"k-m-_c1_2.10",1,7.65638888888889,0.356100243919046
2022-11-09,"k+m-_m37_1.2",1,7.51555555555556,0.347765061680909
2022-12-06,"k+m+_w2_4.3",1,7.2525,-0.10729682503524
2022-11-07,"k-m-_m37_2.4",1,7.635,-0.014799679441956
2022-11-09,"k+m-_c1_1.13",1,7.47472222222222,0.273678619297851
2022-12-06,"k-m-_c1_4.4",1,7.19777777777778,-0.170333574997066
2022-11-07,"k-m+_w2_2.2",1,7.61138888888889,0.408067878949223
2022-11-09,"k-m+_c1_1.7",1,7.42222222222222,0.0782296719450374
2022-11-07,"k-m-_m37_2.3",1,7.57527777777778,-0.0729513561036186
2022-11-09,"k-m-_m37_1.2",1,7.39305555555556,0.293605943586767
2022-11-07,"k+m-_m37_2.1",1,7.53166666666667,0.362523375692188
2022-11-09,"k+m+_w2_1.5",1,7.36944444444444,0.390371451498836
2022-11-03,"k-m+_c1_1.2",2,8.93527777777778,0.308872359150347
2022-11-07,"k-m-_m37_2.2",2,7.10333333333333,0.626570970722492
2022-11-09,"k-m+_w2_1.2",2,7.54277777777778,0.383668915327199
2022-11-03,"k-m-_w2_1.1",2,8.90444444444444,0.383075262306994
2022-11-07,"k+m-_m37_2.2",2,7.08222222222222,0.067652996746639
2022-11-09,"k-m-_c_2",2,NA,NA
2022-11-03,"k-m-_w2_1.4",2,7.825,0.0605062244053651
2022-11-07,"k-m-_c_2",2,NA,NA
2022-11-09,"k+m-_c_2",2,NA,NA
2022-11-03,"k-m+_m37_1.2",2,8.85972222222222,0.11156764530236
2022-11-07,"k+m-_c1_2.7",2,7.05361111111111,-0.0568786585444536
2022-11-09,"k+m+_c1_1.5",2,7.51222222222222,-0.0689876661412918
2022-11-03,"k+m-_c1_1.5",2,8.835,0.198306835342491
2022-11-07,"k+m-_c1_2.3",2,7.0325,-0.222756928610561
2022-11-09,"k-m+_c1_1.5",2,7.48388888888889,0.395871478774932
2022-11-03,"k+m-_m37_1.1",2,8.815,0.239715364341698
2022-11-07,"k+m+_m37_2.7",2,7.00694444444444,0.0273584531170634
2022-11-09,"k-m+_c1_1.1",2,7.4575,0.145107052819622
2022-11-03,"k+m+_c1_1.5",2,8.7875,0.220945677884447
2022-11-07,"k-m-_c1_2.5",2,6.96305555555556,0.154415461507369
2022-11-09,"k+m+_c1_1.2",2,NA,NA
2022-11-03,"k+m+_w2_1.2",2,NA,NA
2022-11-07,"k+m-_m37_2.3",2,6.93138888888889,0.00846167996979642
2022-11-09,"k+m+_c_2",2,NA,NA
2022-11-03,"k+m-_w2_1.3",2,8.74583333333333,0.216663225847623
2022-11-07,"k+m+_w2_2.2",2,6.8925,0.0466552218128853
2022-11-09,"k+m-_c1_1.10",2,7.40722222222222,0.0866986176567383
2022-11-03,"k-m-_c1_1.7",2,8.72333333333333,0.391028550774201
2022-11-07,"k-m-_c1_2.8",2,6.86777777777778,0.704287613813122
2022-11-09,"k-m+_m37_1.3",2,7.37444444444444,0.116095189770518
2022-11-03,"k-m-_c1_1.10",2,8.70305555555556,0.210820548887173
2022-11-07,"k+m+_c_2",2,NA,NA
2022-11-09,"k+m-_c1_1.3",2,7.33472222222222,0.265640291817795
2022-11-03,"k+m+_c1_1.9",2,NA,NA
2022-11-07,"k+m+_m37_2.2",2,6.83111111111111,-0.450941274545586
2022-11-09,"k+m-_w2_1.3",2,7.28861111111111,0.383803189213095
2022-11-03,"k+m-_c1_1.1",2,NA,NA
2022-11-07,"k+m+_c1_2.9",2,6.79555555555556,-0.507061910709347
2022-11-09,"k-m-_c1_1.6",2,7.25555555555556,0.660487375062165
2022-11-03,"k-m-_c1_1.2",2,8.59888888888889,0.332318684116781
2022-11-07,"k+m-_m37_2.5",2,6.755,0.117051848224564
2022-11-09,"k+m+_c1_1.4",2,7.15472222222222,0.515614025137912
2022-11-03,"k-m+_c_2",2,NA,NA
2022-11-07,"k-m-_m37_2.6",2,6.73166666666667,0.347797922232462
2022-11-09,"k-m+_c_2",2,NA,NA
2022-11-03,"k+m+_c1_1.1",2,8.56444444444444,0.0707864032625731
2022-11-07,"k-m+_m37_2.1",2,6.705,-0.0424935955172353
2022-11-09,"k-m-_c1_1.5",2,7.10083333333333,0.426838208385813
2022-11-03,"k-m-_w2_1.5",2,8.53861111111111,-0.052942376903923
2022-11-07,"k-m-_m37_2.9",2,6.36111111111111,0.377732489434895
2022-11-09,"k-m+_c1_1.2",2,7.06166666666667,0.137148679711944
2022-11-03,"k-m-_c1_1.5",2,8.51694444444444,0.0344344327778845
2022-11-07,"k+m-_c_2",2,NA,NA
2022-11-09,"k-m-_m37_1.3",2,7.02111111111111,0.440558827029175
2022-11-03,"k+m-_c1_1.4",2,9.5125,NA
2022-11-07,"k-m+_m37_2.3",2,6.65972222222222,-0.0258154919480051
2022-11-09,"k+m+_w2_1.4",2,NA,NA
2022-11-03,"k+m-_m37_1.2",2,8.47611111111111,0.0502112511986843
2022-11-07,"k-m-_c1_2.1",2,6.63277777777778,0.0904869901225022
