"date","ref","plate","duration_feeding","feedingRate","body","spine","treatment","clone","kairomone","metsch","block","rep","day","assay","r1","fate","day_fate","infectionFate","day_infection"
"2022-11-09","k+m+_c1_1.1"," 1","8.276111"," 0.079447190",NA,NA,"k+m+","c1","TRUE","TRUE"," 1"," 1"," 14"," 2","0.04951051","dead","16","FALSE","NULL"
"2022-12-06","k+m+_w2_4.1"," 1","7.818333"," 0.270708811","1.1263053","0.36535671","k+m+","w2","TRUE","TRUE"," 4"," 1","  7"," 1","0.15973432","alive","21","FALSE","NULL"
"2022-12-11","k-m-_m37_5.3"," 1","7.762778"," 0.116936266","0.9023085","0.02188517","k-m-","m37","FALSE","FALSE"," 5"," 3","  7"," 1","0.08154673","alive","21","FALSE","NULL"
"2022-12-18","k-m+_m37_5.2"," 1","7.399722","-0.101305206","1.4550625","0.37846419","k-m+","m37","FALSE","TRUE"," 5"," 2"," 14"," 2","0.10259474","alive","21","FALSE","NULL"
"2022-12-19","k-m-_w2_6.1"," 1","6.955833"," 0.145167247","1.2873783","0.21814912","k-m-","w2","FALSE","FALSE"," 6"," 1"," 14"," 2","0.05231487","alive","21","FALSE","NULL"
"2022-11-03","k-m+_w2_1.2"," 1","9.406389"," 0.054182794","1.0670624","0.39686992","k-m+","w2","FALSE","TRUE"," 1"," 2","  8"," 1","0.08150958","alive","21","FALSE","NULL"
"2022-11-07","k-m+_c1_2.6"," 1","8.328611"," 0.175410542","1.0011474","0.37236100","k-m+","c1","FALSE","TRUE"," 2"," 6","  7"," 1","0.10058987","alive","21","FALSE","NULL"
"2022-11-09","k-m-_w2_1.5"," 1","8.240278"," 0.164586895","1.3366442","0.35490277","k-m-","w2","FALSE","FALSE"," 1"," 5"," 14"," 2","0.10868092","alive","21","FALSE","NULL"
"2022-12-06","k-m+_c1_4.5"," 1","7.794444","-0.022410440","0.9314573","0.40326937","k-m+","c1","FALSE","TRUE"," 4"," 5","  7"," 1","0.07590206","alive","21","FALSE","NULL"
"2022-12-11","k+m-_c1_5.1"," 1","7.698333"," 0.011972273","0.8907098","0.26283011","k+m-","c1","TRUE","FALSE"," 5"," 1","  7"," 1","0.00000000","alive","21","FALSE","NULL"
"2022-12-12","k+m+_c1_6.2"," 1","7.419722","-0.089612170","1.1452899","0.40912105","k+m+","c1","TRUE","TRUE"," 6"," 2","  7"," 1","0.11235901","alive","21","FALSE","NULL"
"2022-12-13","k+m+_w2_4.2"," 1","7.060556"," 0.119760247","1.3421754","0.02044098","k+m+","w2","TRUE","TRUE"," 4"," 2"," 14"," 2","0.11657875","alive","21","FALSE","NULL"
"2022-12-18","k+m-_w2_5.1"," 1","7.344444"," 0.271277197","1.5602100","0.28055880","k+m-","w2","TRUE","FALSE"," 5"," 1"," 14"," 2","0.14478070","alive","21","FALSE","NULL"
