"ref","date","variable","value_mean","n_obs","range","range_prop","check"
"k+m-_c1_1.2","2022-11-03","body",0.9579628542,2,0.00233573320000013,0.00243822940499161,FALSE
"k+m-_c1_1.2","2022-11-03","spine",0.368864134,1,0,0,FALSE
"k+m-_c1_1.3","2022-11-03","body",1.1342851838,1,0,0,FALSE
"k+m-_c1_1.3","2022-11-03","spine",0.430663604,1,0,0,FALSE
"k+m-_c1_1.3","2022-11-09","body",1.412156688,1,0,0,FALSE
"k+m-_c1_1.3","2022-11-09","spine",0.4902454254,1,0,0,FALSE
"k+m-_c1_1.4","2022-11-03","body",1.0851121808,1,0,0,FALSE
"k+m-_c1_1.4","2022-11-03","spine",0.2881522812,1,0,0,FALSE
"k+m-_c1_1.5","2022-11-03","spine",0.8346839034,2,0.9010794272,1.07954571009402,TRUE
"k+m-_c1_1.5","2022-11-09","body",1.6020793714,1,0,0,FALSE
"k+m-_c1_1.5","2022-11-09","spine",0.493222534,1,0,0,FALSE
"k+m-_c1_1.6","2022-11-03","body",0.9062107098,1,0,0,FALSE
"k+m-_c1_1.6","2022-11-03","spine",0.3190290546,1,0,0,FALSE
"k+m-_c1_1.6","2022-11-09","body",1.2772453246,1,0,0,FALSE
"k+m-_c1_1.6","2022-11-09","spine",0.130210433,1,0,0,FALSE
"k+m-_c1_2.3","2022-11-07","body",1.298528137,1,0,0,FALSE
"k+m-_c1_2.3","2022-11-07","spine",0.4186734324,1,0,0,FALSE
"k+m-_c1_2.5","2022-11-07","body",0.8031534356,1,0,0,FALSE
"k+m-_c1_2.5","2022-11-07","spine",0.2037276342,1,0,0,FALSE
"k+m-_c1_2.6","2022-11-07","body",1.1487883806,1,0,0,FALSE
"k+m-_c1_2.7","2022-11-07","body",1.1798217196,1,0,0,FALSE
"k+m-_c1_2.7","2022-11-07","spine",0.0806664884,1,0,0,FALSE
"k+m-_c1_2.8","2022-11-07","body",0.910686012,1,0,0,FALSE
"k+m-_c1_2.8","2022-11-07","spine",0.325040371,1,0,0,FALSE
"k+m-_c1_4.1","2022-12-06","body",0.9203446541,2,0.00432452779999992,0.00469881340727605,FALSE
"k+m-_c1_4.1","2022-12-06","spine",0.373808752,2,0.00138536680000001,0.00370608444181106,FALSE
"k+m-_c1_4.1","2022-12-13","body",1.3220428474,1,0,0,FALSE
"k+m-_c1_4.1","2022-12-13","spine",0.4309714012,1,0,0,FALSE
"k+m-_c1_4.5","2022-12-06","body",0.8519765917,2,0.00456298299999991,0.0053557609967841,FALSE
"k+m-_c1_4.5","2022-12-06","spine",0.3171479052,2,0.00304017679999996,0.00958599048000258,FALSE
"k+m-_c1_4.6","2022-12-06","body",0.6095487047,2,0.00217472259999996,0.00356775854534919,FALSE
"k+m-_c1_4.6","2022-12-06","spine",0.07636637,2,0.00444291719999999,0.0581789759026125,TRUE
"k+m-_c1_5.1","2022-12-11","body",0.890709801,1,0,0,FALSE
"k+m-_c1_5.1","2022-12-11","spine",0.2628301068,1,0,0,FALSE
"k+m-_c1_5.1","2022-12-18","body",1.1245373242,1,0,0,FALSE
"k+m-_c1_5.1","2022-12-18","spine",0.3356917594,1,0,0,FALSE
"k+m-_c1_5.3","2022-12-11","body",0.6571270322,1,0,0,FALSE
"k+m-_c1_5.3","2022-12-11","spine",0.101831013,1,0,0,FALSE
"k+m-_c1_6.2","2022-12-12","body",0.797360991,1,0,0,FALSE
"k+m-_c1_6.2","2022-12-12","spine",0.2957612576,1,0,0,FALSE
"k+m-_c1_6.2","2022-12-19","body",1.3136764176,1,0,0,FALSE
"k+m-_c1_6.2","2022-12-19","spine",0.3553196094,1,0,0,FALSE
"k+m-_c1_6.3","2022-12-12","body",0.9690913562,1,0,0,FALSE
"k+m-_c1_6.3","2022-12-12","spine",0.0611349298,1,0,0,FALSE
"k+m-_c1_6.3","2022-12-19","body",1.3777223398,1,0,0,FALSE
