"ref","date","body","spine"
"k+m-_c1_2.5","2022-11-07",0.8031534356,0.2037276342
"k+m-_c1_2.6","2022-11-07",1.148730748,0.1028550394
"k+m-_c1_2.7","2022-11-07",1.1798217196,0.0806664884
"k+m-_c1_2.8","2022-11-07",0.910686012,0.325040371
"k+m-_c1_4.1","2022-12-06",0.9203446541,0.373808752
"k+m-_c1_4.1","2022-12-13",1.3220428474,0.4309714012
"k+m-_c1_4.5","2022-12-06",0.8519765917,0.3171479052
"k+m-_c1_4.6","2022-12-06",0.6095487047,0.07636637
"k+m-_c1_5.1","2022-12-11",0.890709801,0.2628301068
"k+m-_c1_5.1","2022-12-18",1.1245373242,0.3356917594
"k+m-_c1_5.3","2022-12-11",0.6571270322,0.101831013
"k+m-_c1_6.2","2022-12-12",0.797360991,0.2957612576
"k+m-_c1_6.2","2022-12-19",1.3136764176,0.3553196094
"k+m-_c1_6.3","2022-12-12",0.9690913562,0.0611349298
"k+m-_c1_6.3","2022-12-19",1.3777223398,0.0997505244
"k+m-_c1_6.5","2022-12-12",0.8984158816,0.3246477124
"k+m-_c1_6.5","2022-12-19",1.2453641844,0.385784725
"k+m-_m37_1.1","2022-11-03",1.0803927592,0.385093464
"k+m-_m37_1.1","2022-11-09",1.3543607406,0.3657207316
"k+m-_m37_1.2","2022-11-03",0.9386113308,0.361390946
"k+m-_m37_1.2","2022-11-09",1.40971524,0.363160818
"k+m-_m37_1.3","2022-11-03",0.9307187634,0.3071507446
"k+m-_m37_1.3","2022-11-09",1.2635172342,0.3777198186
"k+m-_m37_2.1","2022-11-07",1.0670074418,0.3376774298
"k+m-_m37_2.2","2022-11-07",0.9950043092,0.051901471
"k+m-_m37_2.3","2022-11-07",0.9022210048,0.1456439302
"k+m-_m37_2.4","2022-11-07",1.2441512582,0.3459651704
"k+m-_m37_2.5","2022-11-07",0.94265115,0.3459770576
"k+m-_m37_2.7","2022-11-07",1.3040209632,0.424366055
"k+m-_m37_2.8","2022-11-07",1.1632599036,0.3195686014
"k+m-_m37_2.9","2022-11-07",1.1062386054,0.4244183536
"k+m-_m37_5.2","2022-12-11",0.9222260956,0.1896712996
"k+m-_m37_5.2","2022-12-18",1.174025211,0.2863321426
"k+m-_m37_5.3","2022-12-11",1.2230484556,0.3818145018
"k+m-_m37_5.3","2022-12-18",1.4366320518,0.3931242582
"k+m-_m37_6.1","2022-12-12",0.914736804,0.3708551384
"k+m-_m37_6.1","2022-12-19",1.3295658448,0.4399073244
"k+m-_m37_6.2","2022-12-12",0.9962135016,0.105450005
"k+m-_m37_6.2","2022-12-19",1.3872442156,0.1976199248
"k+m-_w2_1.1","2022-11-03",1.0343398922,0.3530960934
"k+m-_w2_1.1","2022-11-09",1.303718246,0.3579482046
"k+m-_w2_1.2","2022-11-03",1.0378297252,0.3920649004
"k+m-_w2_1.3","2022-11-03",1.0122505028,0.3334347662
"k+m-_w2_1.3","2022-11-09",1.5326312502,0.1395447044
"k+m-_w2_1.4","2022-11-03",1.1092406568,0.37910897
"k+m-_w2_1.4","2022-11-09",1.4571520006,0.3538817916
"k+m-_w2_1.5","2022-11-03",0.988854131,0.3701973546
"k+m-_w2_1.5","2022-11-09",1.2593026122,0.3449964144
"k+m-_w2_2.1","2022-11-07",1.2474358592,0.4110880018
"k+m-_w2_2.2","2022-11-07",1.1168908828,0.2175033496
"k+m-_w2_2.3","2022-11-07",1.3270585854,0.4043052874
"k+m-_w2_4.1","2022-12-06",1.1054920232,0.258701286
"k+m-_w2_4.1","2022-12-13",1.3963407938,0.3552627642
"k+m-_w2_4.3","2022-12-06",1.1575529173,0.4200867392
"k+m-_w2_4.3","2022-12-13",1.4836511348,0.070078854
"k+m-_w2_5.1","2022-12-11",1.2394867514,0.4365747682
"k+m-_w2_5.1","2022-12-18",1.5602100368,0.2805587988
"k+m-_w2_6.1","2022-12-12",0.9614419684,0.1054812978
"k+m-_w2_6.1","2022-12-19",1.2973582638,0.1623314508
"k+m+_c1_1.1","2022-11-03",0.9655310636,0.1715837564
"k+m+_c1_1.1","2022-11-09",1.3053061524,0.2640537264
"k+m+_c1_1.10","2022-11-03",0.8780463516,0.3683309372
"k+m+_c1_1.10","2022-11-09",1.2789098374,0.4120153304
"k+m+_c1_1.12","2022-11-03",1.2573148336,0.4158467426
"k+m+_c1_1.12","2022-11-09",1.4796650874,0.513951093
"k+m+_c1_1.2","2022-11-03",0.9742731848,0.3605054258
"k+m+_c1_1.2","2022-11-09",1.36389618,NA
"k+m+_c1_1.4","2022-11-09",1.3927177886,0.355932105
