"ref","treatment","clone","kairomone","metsch","block","rep","fate","day_fate","infectionFate","day_infection","day_clutch1","r1"
"k-m-_m37_2.1","k-m-","m37",FALSE,FALSE,2,1,"alive",21,FALSE,NA,21,0.03300701
"k-m-_m37_2.2","k-m-","m37",FALSE,FALSE,2,2,"dead",21,FALSE,NA,21,0
"k-m-_m37_2.3","k-m-","m37",FALSE,FALSE,2,3,"alive",21,FALSE,NA,10,0
"k-m-_m37_2.4","k-m-","m37",FALSE,FALSE,2,4,"alive",21,FALSE,NA,10,0.18139616
"k-m-_m37_2.5","k-m-","m37",FALSE,FALSE,2,5,"alive",21,FALSE,NA,16,0.09400394
"k-m-_m37_2.6","k-m-","m37",FALSE,FALSE,2,6,"alive",21,FALSE,NA,10,0.13470189
"k-m-_m37_2.7","k-m-","m37",FALSE,FALSE,2,7,"lost",4,FALSE,NA,NA,0
"k-m-_m37_2.8","k-m-","m37",FALSE,FALSE,2,8,"alive",21,FALSE,NA,10,0.17491023
"k-m-_m37_2.9","k-m-","m37",FALSE,FALSE,2,9,"alive",21,FALSE,NA,14,0.14830291
"k-m-_w2_2.1","k-m-","w2",FALSE,FALSE,2,1,"alive",21,FALSE,NA,10,0.19871953
"k-m-_w2_2.2","k-m-","w2",FALSE,FALSE,2,2,"dead",4,FALSE,NA,NA,0
"k-m-_w2_2.3","k-m-","w2",FALSE,FALSE,2,3,"stuck",3,FALSE,NA,NA,0
"k+m-_c1_2.1","k+m-","c1",TRUE,FALSE,2,1,"stuck",3,FALSE,NA,NA,0
"k+m-_c1_2.2","k+m-","c1",TRUE,FALSE,2,2,"alive",4,FALSE,NA,NA,0
"k+m-_c1_2.3","k+m-","c1",TRUE,FALSE,2,3,"alive",21,FALSE,NA,10,0.19339577
"k+m-_c1_2.4","k+m-","c1",TRUE,FALSE,2,4,"dead",4,FALSE,NA,NA,0
"k+m-_c1_2.5","k+m-","c1",TRUE,FALSE,2,5,"alive",21,FALSE,NA,NA,0
"k+m-_c1_2.6","k+m-","c1",TRUE,FALSE,2,6,"alive",21,FALSE,NA,14,0.1321808
"k+m-_c1_2.7","k+m-","c1",TRUE,FALSE,2,7,"alive",21,FALSE,NA,14,0.15054195
"k+m-_c1_2.8","k+m-","c1",TRUE,FALSE,2,8,"dead",14,FALSE,NA,NA,0
"k+m-_c1_2.9","k+m-","c1",TRUE,FALSE,2,9,"alive",4,FALSE,NA,NA,0
"k+m-_c1_2.10","k+m-","c1",TRUE,FALSE,2,10,"stuck",3,FALSE,NA,NA,0
"k+m-_m37_2.1","k+m-","m37",TRUE,FALSE,2,1,"alive",21,FALSE,NA,16,0.13195119
"k+m-_m37_2.2","k+m-","m37",TRUE,FALSE,2,2,"lost",17,FALSE,NA,NA,0
"k+m-_m37_2.3","k+m-","m37",TRUE,FALSE,2,3,"alive",21,FALSE,NA,17,0.10510566
"k+m-_m37_2.4","k+m-","m37",TRUE,FALSE,2,4,"alive",21,FALSE,NA,10,0.14273284
"k+m-_m37_2.5","k+m-","m37",TRUE,FALSE,2,5,"alive",21,FALSE,NA,17,0.08154673
"k+m-_m37_2.6","k+m-","m37",TRUE,FALSE,2,6,"dead",4,FALSE,NA,NA,0
"k+m-_m37_2.7","k+m-","m37",TRUE,FALSE,2,7,"alive",21,FALSE,NA,10,0.18741845
"k+m-_m37_2.8","k+m-","m37",TRUE,FALSE,2,8,"alive",21,FALSE,NA,14,0.14556294
"k+m-_m37_2.9","k+m-","m37",TRUE,FALSE,2,9,"dead",7,FALSE,NA,NA,0
"k+m-_w2_2.1","k+m-","w2",TRUE,FALSE,2,1,"alive",21,FALSE,NA,10,0.17750216
"k+m-_w2_2.2","k+m-","w2",TRUE,FALSE,2,2,"alive",21,FALSE,NA,NA,0
"k+m-_w2_2.3","k+m-","w2",TRUE,FALSE,2,3,"alive",21,FALSE,NA,14,0.1321808
"k-m+_c1_2.1","k-m+","c1",FALSE,TRUE,2,1,"alive",21,FALSE,NA,10,0.19037863
"k-m+_c1_2.2","k-m+","c1",FALSE,TRUE,2,2,"missing",4,FALSE,NA,NA,0
"k-m+_c1_2.3","k-m+","c1",FALSE,TRUE,2,3,"alive",21,FALSE,NA,17,0.10539762
"k-m+_c1_2.4","k-m+","c1",FALSE,TRUE,2,4,"alive",4,FALSE,NA,NA,0
"k-m+_c1_2.5","k-m+","c1",FALSE,TRUE,2,5,"alive",21,FALSE,NA,10,0.15462199
"k-m+_c1_2.6","k-m+","c1",FALSE,TRUE,2,6,"alive",21,FALSE,NA,16,0.10058987
"k-m+_c1_2.7","k-m+","c1",FALSE,TRUE,2,7,"dead",4,FALSE,NA,NA,0
"k-m+_c1_2.8","k-m+","c1",FALSE,TRUE,2,8,"alive",21,FALSE,NA,14,0.13088135
"k-m+_c1_2.9","k-m+","c1",FALSE,TRUE,2,9,"dead",4,FALSE,NA,NA,0
"k-m+_c1_2.10","k-m+","c1",FALSE,TRUE,2,10,"lost",4,FALSE,NA,NA,0
"k-m+_m37_2.1","k-m+","m37",FALSE,TRUE,2,1,"alive",21,FALSE,NA,14,0.13017961
"k-m+_m37_2.2","k-m+","m37",FALSE,TRUE,2,2,"dead",4,FALSE,NA,NA,0
"k-m+_m37_2.3","k-m+","m37",FALSE,TRUE,2,3,"dead",10,FALSE,NA,NA,0
"k-m+_m37_2.4","k-m+","m37",FALSE,TRUE,2,4,"alive",21,FALSE,NA,14,0.11280737
"k-m+_m37_2.5","k-m+","m37",FALSE,TRUE,2,5,"lost",11,FALSE,NA,NA,0
"k-m+_m37_2.6","k-m+","m37",FALSE,TRUE,2,6,"lost",7,FALSE,NA,NA,0
"k-m+_m37_2.7","k-m+","m37",FALSE,TRUE,2,7,"alive",21,FALSE,NA,10,0.14364427
"k-m+_m37_2.8","k-m+","m37",FALSE,TRUE,2,8,"alive",21,FALSE,NA,16,0.1184961
"k-m+_m37_2.9","k-m+","m37",FALSE,TRUE,2,9,"dead",4,FALSE,NA,NA,0
"k-m+_w2_2.1","k-m+","w2",FALSE,TRUE,2,1,"alive",21,FALSE,NA,10,0.18741845
"k-m+_w2_2.2","k-m+","w2",FALSE,TRUE,2,2,"dead",21,FALSE,NA,10,0.17999528
"k-m+_w2_2.3","k-m+","w2",FALSE,TRUE,2,3,"alive",21,FALSE,NA,14,0
"k+m+_c1_2.1","k+m+","c1",TRUE,TRUE,2,1,"dead",4,FALSE,NA,NA,0
"k+m+_c1_2.2","k+m+","c1",TRUE,TRUE,2,2,"missing",4,FALSE,NA,NA,0
"k+m+_c1_2.3","k+m+","c1",TRUE,TRUE,2,3,"alive",21,FALSE,NA,10,0.15515251
"k+m+_c1_2.4","k+m+","c1",TRUE,TRUE,2,4,"alive",21,FALSE,NA,10,0.1653184
"k+m+_c1_2.5","k+m+","c1",TRUE,TRUE,2,5,"dead",17,FALSE,NA,10,0.14454172
"k+m+_c1_2.6","k+m+","c1",TRUE,TRUE,2,6,"dead",3,FALSE,NA,NA,0
"k+m+_c1_2.7","k+m+","c1",TRUE,TRUE,2,7,"dead",3,FALSE,NA,NA,0
"k+m+_c1_2.8","k+m+","c1",TRUE,TRUE,2,8,"dead",3,FALSE,NA,NA,0
"k+m+_c1_2.9","k+m+","c1",TRUE,TRUE,2,9,"alive",21,FALSE,NA,14,0.12142296
"k+m+_c1_2.10","k+m+","c1",TRUE,TRUE,2,10,"alive",21,FALSE,NA,10,0.13339793
"k+m+_m37_2.1","k+m+","m37",TRUE,TRUE,2,1,"alive",21,TRUE,21,10,0.14278964
"k+m+_m37_2.2","k+m+","m37",TRUE,TRUE,2,2,"alive",21,FALSE,NA,14,0.04951051
"k+m+_m37_2.3","k+m+","m37",TRUE,TRUE,2,3,"lost",17,FALSE,NA,14,0.1321808
"k+m+_m37_2.4","k+m+","m37",TRUE,TRUE,2,4,"alive",4,FALSE,NA,NA,0
"k+m+_m37_2.5","k+m+","m37",TRUE,TRUE,2,5,"dead",7,FALSE,NA,NA,0
"k+m+_m37_2.6","k+m+","m37",TRUE,TRUE,2,6,"lost",21,FALSE,NA,10,0.14927598
"k+m+_m37_2.7","k+m+","m37",TRUE,TRUE,2,7,"alive",21,FALSE,NA,10,0.16272152
"k+m+_m37_2.8","k+m+","m37",TRUE,TRUE,2,8,"stuck",3,FALSE,NA,NA,0
"k+m+_m37_2.9","k+m+","m37",TRUE,TRUE,2,9,"alive",21,TRUE,21,14,0.1370035
"k+m+_w2_2.1","k+m+","w2",TRUE,TRUE,2,1,"stuck",3,FALSE,NA,NA,0
"k+m+_w2_2.2","k+m+","w2",TRUE,TRUE,2,2,"alive",21,FALSE,NA,10,0.14756654
"k+m+_w2_2.3","k+m+","w2",TRUE,TRUE,2,3,"alive",4,FALSE,NA,NA,0
"k-m-_c1_4.1","k-m-","c1",FALSE,FALSE,4,1,"dead",4,FALSE,NA,NA,0
"k-m-_c1_4.2","k-m-","c1",FALSE,FALSE,4,2,"dead",4,FALSE,NA,NA,0
"k-m-_c1_4.3","k-m-","c1",FALSE,FALSE,4,3,"alive",21,FALSE,NA,16,0.03770723
"k-m-_c1_4.4","k-m-","c1",FALSE,FALSE,4,4,"dead",16,FALSE,NA,NA,0
"k-m-_c1_4.5","k-m-","c1",FALSE,FALSE,4,5,"dead",4,FALSE,NA,NA,0
"k-m-_c1_4.6","k-m-","c1",FALSE,FALSE,4,6,"dead",4,FALSE,NA,NA,0
"k-m-_w2_4.1","k-m-","w2",FALSE,FALSE,4,1,"alive",21,FALSE,NA,NA,0
"k-m-_w2_4.2","k-m-","w2",FALSE,FALSE,4,2,"alive",21,FALSE,NA,12,0.15949986
"k-m-_w2_4.3","k-m-","w2",FALSE,FALSE,4,3,"alive",21,FALSE,NA,21,0.03300701
"k+m-_c1_4.1","k+m-","c1",TRUE,FALSE,4,1,"alive",21,FALSE,NA,16,0.11066954
"k+m-_c1_4.2","k+m-","c1",TRUE,FALSE,4,2,"dead",2,FALSE,NA,NA,0
"k+m-_c1_4.3","k+m-","c1",TRUE,FALSE,4,3,"dead",4,FALSE,NA,NA,0
"k+m-_c1_4.4","k+m-","c1",TRUE,FALSE,4,4,"lost",4,FALSE,NA,NA,0
"k+m-_c1_4.5","k+m-","c1",TRUE,FALSE,4,5,"dead",12,FALSE,NA,NA,0
"k+m-_c1_4.6","k+m-","c1",TRUE,FALSE,4,6,"dead",9,FALSE,NA,NA,0
"k+m-_w2_4.1","k+m-","w2",TRUE,FALSE,4,1,"alive",21,FALSE,NA,14,0.09447216
"k+m-_w2_4.2","k+m-","w2",TRUE,FALSE,4,2,"dead",7,FALSE,NA,NA,0
"k+m-_w2_4.3","k+m-","w2",TRUE,FALSE,4,3,"alive",21,FALSE,NA,12,0.17276384
"k-m+_c1_4.1","k-m+","c1",FALSE,TRUE,4,1,"dead",12,FALSE,NA,NA,0
"k-m+_c1_4.2","k-m+","c1",FALSE,TRUE,4,2,"dead",4,FALSE,NA,NA,0
"k-m+_c1_4.3","k-m+","c1",FALSE,TRUE,4,3,"alive",21,FALSE,NA,21,0.03300701
"k-m+_c1_4.4","k-m+","c1",FALSE,TRUE,4,4,"alive",21,FALSE,NA,17,0.08154673
"k-m+_c1_4.5","k-m+","c1",FALSE,TRUE,4,5,"alive",21,FALSE,NA,16,0.07590206
"k-m+_c1_4.6","k-m+","c1",FALSE,TRUE,4,6,"dead",7,FALSE,NA,NA,0
"k-m+_w2_4.1","k-m+","w2",FALSE,TRUE,4,1,"alive",21,FALSE,NA,12,0.15798098
"k-m+_w2_4.2","k-m+","w2",FALSE,TRUE,4,2,"alive",21,FALSE,NA,12,0.13670492
"k-m+_w2_4.3","k-m+","w2",FALSE,TRUE,4,3,"alive",21,FALSE,NA,12,0.0816749
"k+m+_c1_4.1","k+m+","c1",TRUE,TRUE,4,1,"alive",21,FALSE,NA,17,0
"k+m+_c1_4.2","k+m+","c1",TRUE,TRUE,4,2,"dead",4,FALSE,NA,NA,0
"k+m+_c1_4.3","k+m+","c1",TRUE,TRUE,4,3,"dead",4,FALSE,NA,NA,0
"k+m+_c1_4.4","k+m+","c1",TRUE,TRUE,4,4,"missing",4,FALSE,NA,NA,0
"k+m+_c1_4.5","k+m+","c1",TRUE,TRUE,4,5,"dead",7,FALSE,NA,NA,0
