"treatment","clone","kairomone","metsch","block","rep","ref","plate_assay1","duration_feeding_assay1","feedingRate_assay1","body_assay1","spine_assay1","day_assay1","plate_assay2","duration_feeding_assay2","feedingRate_assay2","body_assay2","spine_assay2","day_assay2","r1","fate","day_fate","infectionFate","day_infection"
"k+m+","c1","TRUE","TRUE","2","10","k+m+_c1_2.10"," 1","8.143611"," 0.646458843",NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.13339793","alive","21","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","4","2","k-m+_w2_4.2"," 1","7.711944"," 0.344782979","1.1463749","0.37529110"," 7"," 1","6.784444"," 0.19681994","1.3668070","0.43858185","14","0.13670492","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","5","2","k+m+_m37_5.2"," 1","7.273611"," 0.185491520","1.1449043","0.44256957"," 7"," 1","7.103611"," 0.41479008","1.3829054","0.39286480","14","0.06462425","alive","21","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","6","1","k+m-_w2_6.1"," 1","7.248611"," 0.057791680","0.9614420","0.10548130"," 7"," 1","6.519167"," 0.26000389","1.2973583","0.16233145","14","0.12669468","alive","21","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","1","4","k-m-_c1_1.4"," 1","9.149722"," 0.531356556","1.0870868","0.37574111"," 8"," 1","7.799167"," 0.34204189","1.4205666","0.51238150","14","0.14346062","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","2","3","k+m+_m37_2.3"," 1","8.118611"," 0.379428194","1.0713177","0.34498097"," 7",NA,NA,NA,NA,NA,NA,"0.13218080","lost","17","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","4","2","k+m+_w2_4.2"," 1","7.683889"," 0.332451182","1.0839517","0.39510250"," 7"," 1","7.060556"," 0.11976025","1.3421754","0.02044098","14","0.11657875","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","5","1","k+m+_c1_5.1"," 1","7.248889"," 0.133492944","0.8577938","0.38674854"," 7"," 1","7.306944"," 0.20740530","1.1530090","0.42793100","14","0.00000000","dead","16","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","1","2","k+m-_c1_1.2"," 1","9.121111"," 0.309427727","0.9579629","0.36886413"," 8",NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 8","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","4","6","k+m-_c1_4.6"," 1","7.655556"," 0.051231701","0.6095487","0.07636637"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 9","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","1","3","k+m-_m37_1.3"," 1","9.095556"," 0.134010305","0.9307188","0.30715074"," 8"," 2","6.631389"," 0.45074892","1.2635172","0.37771982","14","0.09847316","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","2","5","k+m-_c1_2.5"," 1","8.091111"," 0.016515937","0.8031534","0.20372763"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","alive","21","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","4","3","k-m-_c1_4.3"," 1","7.630278"," 0.071562446","0.8896049","0.28140459"," 7"," 1","7.108889"," 0.23764612","1.2156097","0.34918457","14","0.03770723","alive","21","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","6","1","k+m+_w2_6.1"," 1","7.207500","-0.042693942","0.7751571","0.35897022"," 7"," 1","7.012778"," 0.12491207","1.1003654","0.31124248","14","0.10919221","alive","21","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","1","2","k-m-_w2_1.2"," 1","9.073056"," 0.178775952","0.9698318","0.36354443"," 8"," 1",NA,NA,NA,NA,"14","0.00000000","missing","14","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","2","4","k-m+_m37_2.4"," 1","8.060556"," 0.329110238","0.8554413","0.29817736"," 7",NA,NA,NA,NA,NA,NA,"0.11280737","alive","21","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","5","1","k-m-_w2_5.1"," 1",NA,NA,NA,NA," 7"," 1","6.928333"," 0.22610605","0.9449705","0.02419706","14","0.00000000","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","2","5","k+m+_m37_2.5"," 1","7.883056"," 0.351244293","1.2516950","0.37704166"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","4","6","k+m+_c1_4.6"," 1","7.588056"," 0.214625481","0.7584788","0.27685622"," 7"," 1","6.555556"," 0.31991267","1.2573290","0.36806739","14","0.08664340","alive","21","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","5","1","k+m+_w2_5.1"," 1","7.197778"," 0.187445795","1.1650456","0.40276216"," 7"," 1","7.471944"," 0.34834721","1.5050858","0.39880062","14","0.11235901","alive","21","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","6","1","k-m-_w2_6.1"," 1","7.160278"," 0.181107252","0.8976879","0.11719832"," 7"," 1","6.955833"," 0.14516725","1.2873783","0.21814912","14","0.05231487","alive","21","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","1","1","k+m-_w2_1.1"," 1","9.043611"," 0.134780030","1.0343399","0.35309609"," 8"," 1","8.212500"," 0.15565707","1.3037182","0.35794820","14","0.13464538","alive","21","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","2","4","k+m-_m37_2.4"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.14273284","alive","21","FALSE","NULL"
