"ref","r1","fate","day_fate","infectionFate","day_infection"
"k-m+_c1_2.6","0.100589869527131","alive","21","FALSE","NULL"
"k-m+_c1_2.7","0","dead","4","FALSE","NULL"
"k-m+_c1_2.8","0.130881353685057","alive","21","FALSE","NULL"
"k-m+_c1_2.9","0","dead","4","FALSE","NULL"
"k-m+_c1_2.10","0","lost","4","FALSE","NULL"
"k-m+_m37_2.1","0.13017961106021","alive","21","FALSE","NULL"
"k-m+_m37_2.2","0","dead","4","FALSE","NULL"
"k-m+_m37_2.3","0","dead","10","FALSE","NULL"
"k-m+_m37_2.4","0.112807365844569","alive","21","FALSE","NULL"
"k-m+_m37_2.5","0","lost","11","FALSE","NULL"
"k-m+_m37_2.6","0","lost","7","FALSE","NULL"
"k-m+_m37_2.7","0.143644274526017","alive","21","FALSE","NULL"
"k-m+_m37_2.8","0.118496100210878","alive","21","FALSE","NULL"
"k-m+_m37_2.9","0","dead","4","FALSE","NULL"
"k-m+_w2_2.1","0.187418454923783","alive","21","FALSE","NULL"
"k-m+_w2_2.2","0.17999527677769","dead","21","FALSE","NULL"
"k-m+_w2_2.3","0","alive","21","FALSE","NULL"
"k+m+_c1_2.1","0","dead","4","FALSE","NULL"
"k+m+_c1_2.2","0","missing","4","FALSE","NULL"
"k+m+_c1_2.3","0.155152511359082","alive","21","FALSE","NULL"
"k+m+_c1_2.4","0.165318399738022","alive","21","FALSE","NULL"
"k+m+_c1_2.5","0.144541717800033","dead","17","FALSE","NULL"
"k+m+_c1_2.6","0","dead","3","FALSE","NULL"
"k+m+_c1_2.7","0","dead","3","FALSE","NULL"
"k+m+_c1_2.8","0","dead","3","FALSE","NULL"
"k+m+_c1_2.9","0.121422961067059","alive","21","FALSE","NULL"
"k+m+_c1_2.10","0.133397931846435","alive","21","FALSE","NULL"
"k+m+_m37_2.1","0.142789638163001","alive","21","TRUE","21"
"k+m+_m37_2.2","0.0495105128971389","alive","21","FALSE","NULL"
"k+m+_m37_2.3","0.132180798803552","lost","17","FALSE","NULL"
"k+m+_m37_2.4","0","alive","4","FALSE","NULL"
"k+m+_m37_2.5","0","dead","7","FALSE","NULL"
"k+m+_m37_2.6","0.149275978473968","lost","21","FALSE","NULL"
"k+m+_m37_2.7","0.162721524897001","alive","21","FALSE","NULL"
"k+m+_m37_2.8","0","stuck","3","FALSE","NULL"
"k+m+_m37_2.9","0.137003501507021","alive","21","TRUE","21"
"k+m+_w2_2.1","0","stuck","3","FALSE","NULL"
"k+m+_w2_2.2","0.147566536749722","alive","21","FALSE","NULL"
"k+m+_w2_2.3","0","alive","4","FALSE","NULL"
"k-m-_c1_4.1","0","dead","4","FALSE","NULL"
"k-m-_c1_4.2","0","dead","4","FALSE","NULL"
"k-m-_c1_4.3","0.037707225465345","alive","21","FALSE","NULL"
"k-m-_c1_4.4","0","dead","16","FALSE","NULL"
"k-m-_c1_4.5","0","dead","4","FALSE","NULL"
"k-m-_c1_4.6","0","dead","4","FALSE","NULL"
"k-m-_w2_4.1","0","alive","21","FALSE","NULL"
"k-m-_w2_4.2","0.159499862802317","alive","21","FALSE","NULL"
"k-m-_w2_4.3","0.0330070085980926","alive","21","FALSE","NULL"
"k+m-_c1_4.1","0.110669541388306","alive","21","FALSE","NULL"
"k+m-_c1_4.2","0","dead","2","FALSE","NULL"
"k+m-_c1_4.3","0","dead","4","FALSE","NULL"
"k+m-_c1_4.4","0","lost","4","FALSE","NULL"
"k+m-_c1_4.5","0","dead","12","FALSE","NULL"
"k+m-_c1_4.6","0","dead","9","FALSE","NULL"
"k+m-_w2_4.1","0.0944721603197953","alive","21","FALSE","NULL"
"k+m-_w2_4.2","0","dead","7","FALSE","NULL"
"k+m-_w2_4.3","0.172763838068109","alive","21","FALSE","NULL"
"k-m+_c1_4.1","0","dead","12","FALSE","NULL"
"k-m+_c1_4.2","0","dead","4","FALSE","NULL"
"k-m+_c1_4.3","0.0330070085980926","alive","21","FALSE","NULL"
"k-m+_c1_4.4","0.0815467271246994","alive","21","FALSE","NULL"
"k-m+_c1_4.5","0.0759020556334265","alive","21","FALSE","NULL"
"k-m+_c1_4.6","0","dead","7","FALSE","NULL"
"k-m+_w2_4.1","0.157980983243154","alive","21","FALSE","NULL"
"k-m+_w2_4.2","0.136704917897792","alive","21","FALSE","NULL"
"k-m+_w2_4.3","0.0816749002660225","alive","21","FALSE","NULL"
"k+m+_c1_4.1","0","alive","21","FALSE","NULL"
"k+m+_c1_4.2","0","dead","4","FALSE","NULL"
"k+m+_c1_4.3","0","dead","4","FALSE","NULL"
"k+m+_c1_4.4","0","missing","4","FALSE","NULL"
"k+m+_c1_4.5","0","dead","7","FALSE","NULL"
"k+m+_c1_4.6","0.0866433975699932","alive","21","FALSE","NULL"
"k+m+_w2_4.1","0.159734319440109","alive","21","FALSE","NULL"
"k+m+_w2_4.2","0.116578745459042","alive","21","FALSE","NULL"
"k+m+_w2_4.3","0","lost","7","FALSE","NULL"
"k-m-_c1_5.1","0.118496100210878","alive","21","FALSE","NULL"
"k-m-_c1_5.2","0","lost","7","FALSE","NULL"
"k-m-_c1_5.3","0","dead","4","FALSE","NULL"
"k-m-_m37_5.1","0","missing","2","FALSE","NULL"
"k-m-_m37_5.2","0","dead","4","FALSE","NULL"
"k-m-_m37_5.3","0.0815467271246994","alive","21","FALSE","NULL"
"k-m-_m37_5.4","0","dead","7","FALSE","NULL"
"k-m-_w2_5.1","0","alive","21","FALSE","NULL"
"k+m-_c1_5.1","0","alive","21","FALSE","NULL"
"k+m-_c1_5.2","0","dead","2","FALSE","NULL"
"k+m-_c1_5.3","0","dead","9","FALSE","NULL"
"k+m-_m37_5.1","0","dead","4","FALSE","NULL"
"k+m-_m37_5.2","0.0984731622437516","alive","21","FALSE","NULL"
"k+m-_m37_5.3","0.113559976507769","alive","21","FALSE","NULL"
"k+m-_m37_5.4","0","missing","2","FALSE","NULL"
"k+m-_w2_5.1","0.144780701889308","alive","21","FALSE","NULL"
"k-m+_c1_5.1","0","dead","4","FALSE","NULL"
"k-m+_c1_5.2","0","dead","7","FALSE","NULL"
"k-m+_c1_5.3","0","dead","4","FALSE","NULL"
"k-m+_m37_5.1","0.0946728183784765","alive","21","FALSE","NULL"
"k-m+_m37_5.2","0.102594744183339","alive","21","FALSE","NULL"
"k-m+_m37_5.3","0.0985884231494239","alive","21","FALSE","NULL"
"k-m+_m37_5.4","0.128881748707828","alive","21","FALSE","NULL"
"k-m+_w2_5.1","0.127149058690743","alive","21","FALSE","NULL"
"k+m+_c1_5.1","0","dead","16","FALSE","NULL"
"k+m+_c1_5.2","0","dead","4","FALSE","NULL"
"k+m+_c1_5.3","0","dead","7","FALSE","NULL"
"k+m+_m37_5.1","0.116578745459042","alive","21","TRUE","21"
"k+m+_m37_5.2","0.0646242522745947","alive","21","FALSE","NULL"
"k+m+_m37_5.3","0","lost","9","FALSE","NULL"
"k+m+_m37_5.4","0","missing","7","FALSE","NULL"
"k+m+_w2_5.1","0.112359008560177","alive","21","FALSE","NULL"
"k-m-_c1_6.1","0","dead","2","FALSE","NULL"
"k-m-_c1_6.2","0","dead","5","FALSE","NULL"
"k-m-_c1_6.3","0.0858970059477077","alive","21","FALSE","NULL"
"k-m-_c1_6.4","0","dead","7","FALSE","NULL"
"k-m-_c1_6.5","0","dead","5","FALSE","NULL"
"k-m-_m37_6.1","0.0990178111862533","alive","21","FALSE","NULL"
"k-m-_m37_6.2","0.0853218794870502","alive","21","FALSE","NULL"
"k-m-_w2_6.1","0.0523148708889576","alive","21","FALSE","NULL"
"k+m-_c1_6.1","0","dead","7","FALSE","NULL"
"k+m-_c1_6.2","0.0660140171961853","alive","21","FALSE","NULL"
"k+m-_c1_6.3","0.118496100210878","alive","21","FALSE","NULL"
"k+m-_c1_6.4","0","dead","2","FALSE","NULL"
"k+m-_c1_6.5","0.109192212770372","alive","21","FALSE","NULL"
"k+m-_m37_6.1","0.143602737068834","alive","21","FALSE","NULL"
"k+m-_m37_6.2","0.12619801119076","alive","21","FALSE","NULL"
"k+m-_w2_6.1","0.126694676581829","alive","21","FALSE","NULL"
"k-m+_c1_6.1","0.109646909190193","alive","21","FALSE","NULL"
"k-m+_c1_6.2","0.0766399005921","alive","21","FALSE","NULL"
"k-m+_c1_6.3","0.0984731622437516","alive","21","FALSE","NULL"
"k-m+_c1_6.4","0.0815467271246994","alive","21","TRUE","21"
"k-m+_c1_6.5","0","dead","7","FALSE","NULL"
"k-m+_m37_6.1","0.117670683258025","alive","21","FALSE","NULL"
"k-m+_m37_6.2","0.0940039399242671","alive","21","FALSE","NULL"
"k-m+_w2_6.1","0","alive","21","FALSE","NULL"
"k+m+_c1_6.1","0","dead","2","FALSE","NULL"
"k+m+_c1_6.2","0.112359008560177","alive","21","FALSE","NULL"
"k+m+_c1_6.3","0","dead","5","FALSE","NULL"
"k+m+_c1_6.4","0","dead","5","FALSE","NULL"
"k+m+_c1_6.5","0","lost","2","FALSE","NULL"
"k+m+_m37_6.1","0","dead","2","FALSE","NULL"
"k+m+_m37_6.2","0.0523148708889576","alive","21","FALSE","NULL"
"k+m+_w2_6.1","0.109192212770372","alive","21","FALSE","NULL"
